Opportunity ID,Business Account,Status,Stage,Estimated amount,Amount received,Difference,Class ID,Class,Programme financé
1998,C00224,Won,Won,3503.61,3503.61,0.0,PPRIV TA,Private partnership - Apprenticeship tax,
1997,C00709,Won,Won,12317.7,12317.7,0.0,PPRIV TA,Private partnership - Apprenticeship tax,
1993,C00574,Won,Won,3584.81,3584.81,0.0,PPRIV TA,Private partnership - Apprenticeship tax,
1992,C00137,Won,Won,8000.0,8000.0,0.0,PPRIV TA,Private partnership - Apprenticeship tax,
1991,C00283,Won,Won,1600.0,1600.0,0.0,PPRIV TA,Private partnership - Apprenticeship tax,
1990,C02762,Won,Won,10000.0,10000.0,0.0,PPRIV MEC,Private partnership - Patronage,Séjours et Camps
1989,C00933,Won,Won,3000.0,3000.0,0.0,PPRIV TA,Private partnership - Apprenticeship tax,
1986,C00022,Won,Won,120.0,120.0,0.0,CAMP SAL,Campus - Room,
1985,C02755,Won,Won,2000.0,2000.0,0.0,PPRIV MEC,Private partnership - Patronage,Non fléché
1983,C01404,Won,Won,9000.0,9000.0,0.0,PPUB,Public partnership,Sport
1982,C01093,Won,Won,15613.0,15613.0,0.0,PPRIV TA,Private partnership - Apprenticeship tax,
1981,C00125,Won,Won,2000.0,2000.0,0.0,PPRIV MEC,Private partnership - Patronage,"Job dans la Ville, L dans la Ville, Entrepreneurs dans la Ville"
1980,C01341,Won,Won,5582.0,5891.6,309.6,CAMP EVT,Campus - Event,
1979,C00110,Won,Won,15000.0,15000.0,0.0,PPRIV MEC,Private partnership - Patronage,Sport
1978,C02139,Won,Won,120.0,120.0,0.0,CAMP SAL,Campus - Room,
1977,C00423,Won,Won,15000.0,15000.0,0.0,PPRIV TA,Private partnership - Apprenticeship tax,
1976,C00137,Won,Won,3670.0,3846.4,176.4,CAMP SAL,Campus - Room,
1975,C01460,New,Won,135000.0,87500.0,-47500.0,PPUB,Public partnership,"Sport, Job dans la Ville, L dans la Ville"
1974,C02469,Won,Won,3936.0,3936.0,0.0,CAMP SAL,Campus - Room,
1973,C02467,Won,Won,12945.0,12945.0,0.0,PPRIV TA,Private partnership - Apprenticeship tax,
1972,C01601,Won,Won,10000.0,10000.0,0.0,PPUB,Public partnership,Non fléché
1971,C01601,Won,Won,10000.0,10000.0,0.0,PPUB,Public partnership,Non fléché
1970,C01601,Won,Won,10000.0,10000.0,0.0,PPUB,Public partnership,Non fléché
1969,C01075,Won,Won,3500.0,3500.0,0.0,PPRIV TA,Private partnership - Apprenticeship tax,
1968,C02264,Won,Won,2182.0,2248.0,66.0,CAMP EVT,Campus - Event,
1967,C00022,Won,Won,120.0,120.0,0.0,CAMP SAL,Campus - Room,
1966,C00418,Won,Won,1050.2,1050.2,0.0,CAMP SAL,Campus - Room,
1965,C02192,Won,Won,1000.0,0.0,-1000.0,PPRIV TA,Private partnership - Apprenticeship tax,
1964,C00600,Won,Won,40000.0,40000.0,0.0,PPRIV TA,Private partnership - Apprenticeship tax,
1963,C01018,Won,Won,918.0,918.0,0.0,PPRIV TA,Private partnership - Apprenticeship tax,
1962,C00578,Won,Won,4555.0,4555.0,0.0,PPRIV TA,Private partnership - Apprenticeship tax,
1961,C00386,Won,Won,5024.0,5024.0,0.0,PPRIV TA,Private partnership - Apprenticeship tax,
1960,C01461,New,Won,250000.0,75000.0,-175000.0,PPUB,Public partnership,"Sport, Job dans la Ville, L dans la Ville"
1959,C00237,Won,Won,5792.0,5792.0,0.0,PPRIV TA,Private partnership - Apprenticeship tax,
1958,C00108,Won,Won,3000.0,3000.0,0.0,PPRIV TA,Private partnership - Apprenticeship tax,
