Opportunity ID,Business Account,Contact ID,Estimated Close Date,Status,Stage,Probability,Estimated amount,Amount received,Difference,Class ID,Class,Programme financé,Agreement,Created On,Last Modified Date,Actual Close Date,Assignment Date
5417,C08273,46173.0,2023-08-01 00:00:00.000,Won,Won,100,4000.0,4000.0,0.0,PPRIV EVNT,Private partnership - Event,,,2023-03-29 15:31:34.837,2023-05-30 15:59:47.340,2023-05-30 00:00:00.000,2023-03-29 15:30:49.797
5416,C01583,46172.0,2023-08-01 00:00:00.000,New,Lost,0,4000.0,0.0,-4000.0,PPRIV EVNT,Private partnership - Event,,,2023-03-29 15:24:38.347,2023-07-24 15:50:06.497,,2023-03-29 15:23:56.810
5415,C17746,46171.0,2023-08-01 00:00:00.000,New,Won,100,4000.0,0.0,-4000.0,PPRIV EVNT,Private partnership - Event,,,2023-03-29 15:10:44.333,2023-03-29 16:22:48.623,,2023-03-29 15:09:58.797
5414,C00262,46169.0,2023-08-01 00:00:00.000,New,Won,100,4000.0,0.0,-4000.0,PPRIV EVNT,Private partnership - Event,,,2023-03-29 15:03:50.403,2023-03-29 15:04:21.670,,2023-03-29 15:03:19.303
5413,C06287,41563.0,2023-08-01 00:00:00.000,Won,Won,100,4000.0,4000.0,0.0,PPRIV EVNT,Private partnership - Event,,,2023-03-29 14:54:26.773,2023-07-24 10:14:21.710,2023-07-24 00:00:00.000,2023-03-29 14:53:43.233
5412,C01222,46167.0,2023-08-01 00:00:00.000,Won,Won,100,4000.0,4000.0,0.0,PPRIV EVNT,Private partnership - Event,,,2023-03-29 14:51:16.743,2023-09-11 11:43:55.840,2023-09-11 00:00:00.000,2023-03-29 14:50:34.177
5411,C10991,43424.0,2023-08-01 00:00:00.000,Won,Won,100,4000.0,4000.0,0.0,PPRIV EVNT,Private partnership - Event,,,2023-03-29 14:46:23.423,2023-06-26 11:03:30.553,2023-06-26 00:00:00.000,2023-03-29 14:45:49.827
5410,C11487,43679.0,2023-08-01 00:00:00.000,Won,Won,100,4000.0,4000.0,0.0,PPRIV EVNT,Private partnership - Event,,,2023-03-29 14:41:07.150,2023-04-18 15:44:00.130,2023-04-18 00:00:00.000,2023-03-29 14:39:56.300
5409,C11691,43791.0,2023-08-01 00:00:00.000,Won,Won,100,4000.0,4000.0,0.0,PPRIV EVNT,Private partnership - Event,,,2023-03-29 14:36:42.660,2023-04-18 15:44:27.863,2023-04-18 00:00:00.000,2023-03-29 14:35:47.097
5408,C17745,46166.0,2023-08-01 00:00:00.000,Won,Won,100,8000.0,8000.0,0.0,PPRIV EVNT,Private partnership - Event,,,2023-03-29 14:31:51.420,2023-07-03 11:35:26.143,2023-07-03 00:00:00.000,2023-03-29 14:30:55.410
5407,C00035,41098.0,2023-08-01 00:00:00.000,New,Won,100,4000.0,0.0,-4000.0,PPRIV EVNT,Private partnership - Event,,,2023-03-29 14:12:30.420,2023-03-29 14:13:13.783,,2023-03-29 14:11:08.603
5406,C11836,43914.0,2023-05-25 00:00:00.000,Won,Won,100,4000.0,4000.0,0.0,PPRIV EVNT,Private partnership - Event,,,2023-03-29 13:56:00.523,2023-06-26 11:03:42.453,2023-06-26 00:00:00.000,2023-03-29 13:54:51.367
5404,C00226,37913.0,2023-05-15 00:00:00.000,Won,Won,100,6000.0,6000.0,0.0,PPRIV EVNT,Private partnership - Event,,,2023-03-28 10:16:58.060,2023-06-26 11:03:56.747,2023-06-26 00:00:00.000,2023-03-28 10:14:40.390
5403,C01326,,2023-03-28 00:00:00.000,New,Won,100,77000.0,0.0,-77000.0,PPUB,Public partnership,Sport,False,2023-03-28 10:02:28.460,2023-08-04 14:57:52.630,,2023-03-28 09:59:31.253
5402,C01326,,2023-03-28 00:00:00.000,New,Won,100,143000.0,0.0,-143000.0,PPUB,Public partnership,Sport,False,2023-03-28 09:58:25.873,2023-08-04 14:57:52.910,,2023-03-28 09:54:19.810
5401,C17656,,2023-03-27 00:00:00.000,Won,Oral agreement,100,3000.0,3000.0,0.0,PPRIV MEC,Private partnership - Patronage,Non fléché,False,2023-03-27 11:22:02.317,2023-05-30 15:59:59.917,2023-05-30 00:00:00.000,2023-03-27 11:20:37.777
5399,C00644,,2023-03-24 00:00:00.000,New,Won,100,5000.0,0.0,-5000.0,PPRIV EVNT,Private partnership - Event,,,2023-03-24 15:01:42.280,2023-03-24 15:02:07.277,,2023-03-24 14:56:51.687
5398,C17654,,2023-03-24 00:00:00.000,Won,Oral agreement,100,500.0,500.0,0.0,PPRIV MEC,Private partnership - Patronage,Non fléché,False,2023-03-24 10:51:36.063,2023-04-12 15:34:21.123,2023-04-12 00:00:00.000,2023-03-24 10:50:40.363
5397,C00292,35788.0,2023-11-01 00:00:00.000,Won,Won,100,10000.0,10000.0,0.0,PPRIV MEC,Private partnership - Patronage,Réussite dans la Ville,False,2023-03-23 18:23:06.583,2023-09-18 11:28:32.403,2023-07-18 00:00:00.000,2023-03-23 18:21:03.010
5396,C01204,46131.0,2023-03-23 00:00:00.000,New,Oral agreement,80,8000.0,0.0,-8000.0,PPUB,Public partnership,Job dans la Ville,False,2023-03-23 16:20:46.300,2023-09-28 10:06:46.933,,2023-03-23 16:17:33.610
5395,C01094,45905.0,2023-04-21 00:00:00.000,New,Won,100,6000.0,0.0,-6000.0,PPRIV EVNT,Private partnership - Event,,,2023-03-23 11:48:41.067,2023-03-23 11:48:56.173,,2023-03-23 11:47:40.183
5394,C01628,36301.0,2023-04-21 00:00:00.000,Won,Won,100,3500.0,3500.0,0.0,PPRIV EVNT,Private partnership - Event,,,2023-03-23 09:43:14.867,2023-09-11 11:44:55.767,2023-09-11 00:00:00.000,2023-03-23 09:42:28.820
5393,C00366,43370.0,2023-05-04 00:00:00.000,Won,Won,100,2680.3,2700.7,20.4,CAMP EVT,Campus - Event,,,2023-03-22 12:03:12.450,2023-05-11 16:21:37.997,2023-05-04 00:00:00.000,2023-03-22 12:02:17.983
